PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
92;root;20;0;0;0;0;S;0,0;0,0;0:00.06;kcompactd0
93;root;25;5;0;0;0;S;0,0;0,0;0:00.00;ksmd
94;root;39;19;0;0;0;S;0,0;0,0;0:00.00;khugepaged
142;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kintegrityd
143;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kblockd
144;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;blkcg_punt_bio
145;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;tpm_dev_wq
146;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;ata_sff
147;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;md
148;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;edac-poller
149;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;devfreq_wq
150;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;watchdogd
152;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;irq/25-AMD-Vi
154;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kswapd0
